_id,user_id,comment_on,object_id,content,device,timestamp,sentiment
{'$oid': '55bc69321a77ce605254ba25'},637520,vod,55b9e8c917dc1344d4012c39,"""đây là quay bản 3d 😢""",android,2015-08-01 06:58:00,Trung tính
{'$oid': '55bc6a171a77ce605254ba26'},433166,vod,55912b4917dc130d4f749c7e,"""16 tập ms hết cơ""",ios,2015-08-01 07:01:00,Trung tính
{'$oid': '55bc6a901a77ce605254ba27'},638584,event,557e482b17dc1323aefd4399,"""mình nghĩ các bé vẫn nhỏ tham gia chơi vui là chính. nên đừng so sánh này kia. với mình các bé dám thể hiện mình tự nhiên vậy là quá dũng cảm rồi""",winphone,2015-08-01 07:03:00,Tích cực
{'$oid': '55bc6b241a77ce605254ba28'},40509,vod,5576c1f717dc1328679cf1d7,"""tập 38.39. kiểu gì thế add ơi, sau có mỗi đoạn thế. Tiểu Thanh sao chết thế""",ios,2015-08-01 07:06:00,Tiêu cực
{'$oid': '55bc71621a77ce605254ba29'},100492,vod,544a4e3a17dc1352e3c9cdce,"""Xem tập nào cũng phải @#$%$*( Romano đúng 15 giây""",web-playfpt,2015-08-01 07:33:00,Tích cực
{'$oid': '55bc72391a77ce605254ba2a'},211161,vod,55b8974f17dc1344d5012b9b,"""Phim này trong các thể loại zombie thì đánh giá đc 60% hay, kịch tính cũng có nhưng k có cao trào nhiều, nói chung coi hết phim kinh dị thì có thể quay lại xem phim này nếu hết phim kinh dị coi rồi :)""",web-playfpt,2015-08-01 07:36:00,Trung tính
{'$oid': '55bc765e1a77ce605254ba2b'},634701,vod,5578005317dc1328689cf22e,"""ôi hóng dài cổ""",ios,2015-08-01 07:54:00,Tiêu cực
{'$oid': '55bc77921a77ce605254ba2c'},230260,vod,559a4f7f17dc136326e6a5b6,"""thích nhất thể loại khoa học mà k hiểu sao fpt lại xóa mất tìm k thấy còn nhiều như trước""",android,2015-08-01 07:59:00,Tích cực
{'$oid': '55bc7b031a77ce605254ba2d'},249099,event,55bc164517dc1344d2012db7,"""chán việt nam lắm ròy.haizz""",winphone,2015-08-01 08:14:00,Tiêu cực
{'$oid': '55bc7b6f1a77ce605254ba2e'},190774,vod,52ae7e3ec969280709f0a0f8,"""Xem đi xem lại cả chục lần mà ko thấy chán 😂""",android,2015-08-01 08:15:00,Tiêu cực
{'$oid': '55bc7bbb1a77ce605254ba2f'},317766,event,559634de17dc130d51749e5d,"""bon chu lam""",ios,2015-08-01 08:17:00,Tích cực
{'$oid': '55bc7ee41a77ce605254ba30'},638674,vod,5578005317dc1328689cf22e,"""xem phim thường có 2 loại mà ngta ghết nhất. 1 loại là những con mặt lôz tâm hồn chó tha. 1 loại là những con hiền lành quá, đếch hiểu nó suy nghĩ cái gì. xem mà thấy nó ngu ngu.""",web-playfpt,2015-08-01 08:30:00,Tiêu cực
{'$oid': '55bc7fb31a77ce605254ba31'},576671,event,55bc164517dc1344d2012db7,"""cố lên các cô gái của chúng ta""",ios,2015-08-01 08:34:00,Tiêu cực
{'$oid': '55bc7fbc1a77ce605254ba32'},638675,event,55bc164517dc1344d2012db7,"""các trụ cột ốm   chấn thương chỉ còn các bạn trẻ 9X chệch choạc 1 trận cũng là bình thường mà. có lúc nọ lúc kia chứ. Cố lên BC nữ Việt Nam nhé!!!""",web-playfpt,2015-08-01 08:34:00,Tiêu cực
{'$oid': '55bc82081a77ce605254ba33'},638686,event,55bc164517dc1344d2012db7,"""Ráng tranh hạng 3 máy gái Việt Nam! Ơi""",ios,2015-08-01 08:44:00,Tích cực
{'$oid': '55bc82151a77ce605254ba34'},638521,event,55bc1d3017dc1344d2012dbc,"""ai dang xem ko""",android,2015-08-01 08:44:00,Trung tính
{'$oid': '55bc82531a77ce605254ba35'},638683,event,55bc164517dc1344d2012db7,"""cố lenen vn ơi hãy mang về những chiếc huy chương nhé ko nhất thiết phải là ck nhưng cú cống hiến là đc""",web-playfpt,2015-08-01 08:45:00,Trung tính
{'$oid': '55bc84671a77ce605254ba36'},614447,event,55bc164517dc1344d2012db7,"""Không thắng đc Đội trẻ Thái lan, còn thắng làm đội nào báy giờ""",ios,2015-08-01 08:54:00,Tiêu cực
{'$oid': '55bc848d1a77ce605254ba37'},614447,event,55bc164517dc1344d2012db7,"""quá chán""",ios,2015-08-01 08:54:00,Tiêu cực
{'$oid': '55bc859d1a77ce605254ba38'},39810,event,55bc164517dc1344d2012db7,"""Chắc thắng, xếp vị trí thứ 3""",ios,2015-08-01 08:59:00,Tích cực
{'$oid': '55bc85a61a77ce605254ba39'},116997,event,55bc164517dc1344d2012db7,"""Việt Nam! Dc đáh giá dứoi cơ thua là chắc""",ios,2015-08-01 08:59:00,Tiêu cực
{'$oid': '55bc87071a77ce605254ba3a'},311269,vod,55b9f01217dc1344d2012c8e,"""TẮT QUẢNG CÁO CHO CÁI.. CÁI NÀO CŨNG CÓ GHÉT VL""",web-playfpt,2015-08-01 09:05:00,Tiêu cực
{'$oid': '55bc88a41a77ce605254ba3b'},187890,event,55bc1d3017dc1344d2012dbc,"""Invulnerable the ft""",ios,2015-08-01 09:12:00,Tích cực
{'$oid': '55bc89831a77ce605254ba3c'},120994,event,55bc164517dc1344d2012db7,"""Gặp  Thai moi cum. Con lai tu tin lam""",ios,2015-08-01 09:15:00,Tiêu cực
{'$oid': '55bc8ae31a77ce605254ba3d'},311269,vod,55b9f01217dc1344d2012c8e,"""KO THICH LONG TIẾNG  , MÀ ÉC""",web-playfpt,2015-08-01 09:21:00,Tiêu cực
{'$oid': '55bc8b1b1a77ce605254ba3e'},496592,event,55bc1d3017dc1344d2012dbc,"""tao day kkk""",android,2015-08-01 09:22:00,Tiêu cực
{'$oid': '55bc8bdb1a77ce605254ba3f'},392456,vod,544dc5e517dc1352e0c9cdb4,"""hay qua ! nhieu khuc hai vai""",ios,2015-08-01 09:25:00,Tích cực
{'$oid': '55bc8c571a77ce605254ba40'},614447,event,55bc164517dc1344d2012db7,"""Tâm lý kém, ít đội nào dẫm trước đối thủ 5 ,6 điểm mag vãn bị thua""",ios,2015-08-01 09:28:00,Tiêu cực
{'$oid': '55bc8cea1a77ce605254ba41'},280578,event,55b587a317dc131ef1922f47,"""https://facebook.com/bongdavietnam""",ios,2015-08-01 09:30:00,Tích cực
{'$oid': '55bc8d181a77ce605254ba42'},614447,event,55bc164517dc1344d2012db7,"""Vẽ vời , tâm lý quá kém""",ios,2015-08-01 09:31:00,Tiêu cực
{'$oid': '55bc8d491a77ce605254ba43'},623795,event,55bc164517dc1344d2012db7,"""like và share facebook \BTV Nhật Linh - Nguyễn Hoàng Nhật Linh\ nhé .....:P:P:P:P:P:P
Thanks.../-heart/-heart/-heart/-heart
https://www.facebook.com/nguyenhoangnhatlinh09051996.vtv.vn?ref=ts""",web-playfpt,2015-08-01 09:32:00,Tích cực
{'$oid': '55bc8d641a77ce605254ba44'},638686,event,55bc164517dc1344d2012db7,"""quá chán""",ios,2015-08-01 09:32:00,Tiêu cực
{'$oid': '55bc8d751a77ce605254ba45'},623795,event,55bc164517dc1344d2012db7,"""like và share facebook \BTV Nhật Linh - Nguyễn Hoàng Nhật Linh\ nhé .....:P:P:P:P:P:P
Thanks.../-heart/-heart/-heart/-heart
https://www.facebook.com/nguyenhoangnhatlinh09051996.vtv.vn?ref=ts""",web-playfpt,2015-08-01 09:32:00,Tích cực
{'$oid': '55bc8d841a77ce605254ba46'},638749,event,55bc164517dc1344d2012db7,"""Cố lên các cô gái""",ios,2015-08-01 09:33:00,Tích cực
{'$oid': '55bc8e491a77ce605254ba47'},638753,event,55bc164517dc1344d2012db7,"""Cố lên các chị""",ios,2015-08-01 09:36:00,Trung tính
{'$oid': '55bc8e9f1a77ce605254ba48'},633397,event,55bc164517dc1344d2012db7,"""Libero quá tệ""",ios,2015-08-01 09:37:00,Tiêu cực
{'$oid': '55bc8ead1a77ce605254ba49'},120994,event,55bc164517dc1344d2012db7,"""HLV thay so 15 thoi""",ios,2015-08-01 09:38:00,Trung tính
{'$oid': '55bc8ebe1a77ce605254ba4a'},540835,event,55bc164517dc1344d2012db7,"""mong cho cang nhieu that vong cang lon .....nãn thiêt""",winphone,2015-08-01 09:38:00,Tích cực
{'$oid': '55bc8f131a77ce605254ba4b'},4612,vod,5461c9c217dc1324f931699c,"""the nao cung hay""",ios,2015-08-01 09:39:00,Tích cực
{'$oid': '55bc8f231a77ce605254ba4c'},44819,event,55bc164517dc1344d2012db7,"""Fong thu luon kem hon cac doi thu""",ios,2015-08-01 09:39:00,Tiêu cực
{'$oid': '55bc8f7e1a77ce605254ba4d'},627192,vod,54005344c96928440b3f4a13,"""phim hay quaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",web-playfpt,2015-08-01 09:41:00,Tích cực
{'$oid': '55bc91181a77ce605254ba4e'},371471,event,55bc164517dc1344d2012db7,"""Cố lên viet nam ơi""",ios,2015-08-01 09:48:00,Trung tính
{'$oid': '55bc91dc1a77ce605254ba4f'},364875,event,55bc164517dc1344d2012db7,"""Sao có chị số 6 đinh thị trà giang chưa baoh thấy đc vào sân là sao nhỉ?""",ios,2015-08-01 09:51:00,Trung tính
{'$oid': '55bc92351a77ce605254ba50'},552798,event,55bc164517dc1344d2012db7,"""hai người nhảy chạm vạch""",winphone,2015-08-01 09:53:00,Trung tính
{'$oid': '55bc92441a77ce605254ba51'},637205,vod,5518bb0b17dc135c57f3c662,"""có ai biết tên bài hát mà em bé hát ở tập 1 phút 31 không ạ""",web-playfpt,2015-08-01 09:53:00,Trung tính
{'$oid': '55bc93ac1a77ce605254ba52'},552540,event,55bc164517dc1344d2012db7,"""Cgang len Việt Nam!.thua cung k sao""",ios,2015-08-01 09:59:00,Tiêu cực
{'$oid': '55bc93f91a77ce605254ba53'},624126,event,55b587a317dc131ef1922f47,"""Sao k xem đc mấy kện của cab thế""",ios,2015-08-01 10:00:00,Trung tính
{'$oid': '55bc942e1a77ce605254ba54'},623795,event,55bc164517dc1344d2012db7,"""like và share facebook \BTV Nhật Linh - Nguyễn Hoàng Nhật Linh\ nhé .....:P:P:P:P:P:P
Thanks.../-heart/-heart/-heart/-heart
https://www.facebook.com/nguyenhoangnhatlinh09051996.vtv.vn?ref=ts""",web-playfpt,2015-08-01 10:01:00,Tích cực
{'$oid': '55bc94431a77ce605254ba55'},638817,event,55bc164517dc1344d2012db7,"""thua me di""",winphone,2015-08-01 10:01:00,Tiêu cực
{'$oid': '55bc94591a77ce605254ba56'},555194,event,55bc138617dc1344d3012d16,"""HhJzjzjxk""",ios,2015-08-01 10:02:00,Trung tính
{'$oid': '55bc94841a77ce605254ba57'},377547,event,55b587a317dc131ef1922f47,"""H mấy ông này lại làm dịch vụ r à""",ios,2015-08-01 10:02:00,Tiêu cực
{'$oid': '55bc94ce1a77ce605254ba58'},638833,event,55b587a317dc131ef1922f47,"""Chua xem đuợc""",ios,2015-08-01 10:04:00,Tích cực
{'$oid': '55bc95131a77ce605254ba59'},377547,event,55b587a317dc131ef1922f47,"""Trận hp với đn kênh nào thế các bác""",ios,2015-08-01 10:05:00,Trung tính
{'$oid': '55bc95221a77ce605254ba5a'},19838,event,55bc164517dc1344d2012db7,"""Libero quá kém, thật ko thể tin nổi""",ios,2015-08-01 10:05:00,Tiêu cực
{'$oid': '55bc95ba1a77ce605254ba5b'},600607,event,55bc164517dc1344d2012db7,"""Gjoi vo danh di o doa che voi khen""",ios,2015-08-01 10:08:00,Trung tính
{'$oid': '55bc96131a77ce605254ba5c'},471488,event,55bc164517dc1344d2012db7,"""Bước 1 kìa""",ios,2015-08-01 10:09:00,Trung tính
{'$oid': '55bc962b1a77ce605254ba5d'},471488,event,55bc164517dc1344d2012db7,"""Ăn dc quả blv khen khen như""",ios,2015-08-01 10:09:00,Tích cực
{'$oid': '55bc977f1a77ce605254ba5e'},601963,event,55bc164517dc1344d2012db7,"""Huấn luyện viên trùng họ tên với mình luôn. Kkk""",ios,2015-08-01 10:15:00,Trung tính
{'$oid': '55bc97831a77ce605254ba5f'},472810,event,55bc164517dc1344d2012db7,"""Đánh chán vãi chưởng""",ios,2015-08-01 10:15:00,Tiêu cực
{'$oid': '55bc97901a77ce605254ba60'},472810,event,55bc164517dc1344d2012db7,"""Vãi chưởng""",ios,2015-08-01 10:15:00,Tiêu cực
{'$oid': '55bc97c31a77ce605254ba61'},405247,vod,55baf8f317dc1344d3012c90,"""phim hay quá xem mấy lần rồi vẫn thích""",ios,2015-08-01 10:16:00,Tích cực
{'$oid': '55bc97f61a77ce605254ba62'},472810,event,55bc164517dc1344d2012db7,"""Chấp nhận thua đê đánh đấm như ẻ""",ios,2015-08-01 10:17:00,Tiêu cực
{'$oid': '55bc98101a77ce605254ba63'},638880,vod,544e257b17dc13291c541b42,"""co ai biet bao gio moi co tap moi khong vay""",web-playfpt,2015-08-01 10:18:00,Tiêu cực
{'$oid': '55bc98301a77ce605254ba64'},638880,vod,544e257b17dc13291c541b42,"""one piece la one piece chu ai""",web-playfpt,2015-08-01 10:18:00,Tích cực
{'$oid': '55bc9a781a77ce605254ba65'},46988,vod,5555a06c17dc13323f89f920,"""svd dhxgjsfzjagvzhsus""",winphone,2015-08-01 10:28:00,Tích cực
{'$oid': '55bc9a941a77ce605254ba66'},46988,vod,5555a06c17dc13323f89f920,"""nsnahsh xhxb xhzbz  xhxbm   ₫'shskks()#)#)290112*₫\""",winphone,2015-08-01 10:28:00,Tiêu cực
{'$oid': '55bc9d0a1a77ce605254ba67'},378405,event,55b587a317dc131ef1922f47,"""Yêu cầu tài khoản vip thì ở ngoài ghi yêu cầu vip đi, vãi cả vào trong mới hiện ra, vớ va vớ vẩn""",ios,2015-08-01 10:39:00,Tiêu cực
{'$oid': '55bc9d5a1a77ce605254ba68'},167915,event,55b5882717dc131ef3922f0b,"""cố lên Becamex Bình Dương ơi""",winphone,2015-08-01 10:40:00,Trung tính
{'$oid': '55bc9d861a77ce605254ba69'},167915,event,55b5882717dc131ef3922f0b,"""CỐ LÊN B.BD""",winphone,2015-08-01 10:41:00,Tiêu cực
{'$oid': '55bc9dcc1a77ce605254ba6a'},65293,event,55b587a317dc131ef1922f47,"""Cai j cung thu phí""",ios,2015-08-01 10:42:00,Trung tính
{'$oid': '55bc9de91a77ce605254ba6b'},615870,event,55bc16d417dc1344d4012cf6,"""giời aaaaaaaạ!""",winphone,2015-08-01 10:43:00,Tiêu cực
{'$oid': '55bc9deb1a77ce605254ba6c'},600607,event,55bc164517dc1344d2012db7,"""C ff f. FzAAAAqaaf f ff""",ios,2015-08-01 10:43:00,Tiêu cực
{'$oid': '55bc9df41a77ce605254ba6d'},615870,event,55bc16d417dc1344d4012cf6,"""đánh thế à""",winphone,2015-08-01 10:43:00,Tiêu cực
{'$oid': '55bc9e181a77ce605254ba6e'},615870,event,55bc16d417dc1344d4012cf6,"""phải bắt bước 1 tốt vào""",winphone,2015-08-01 10:43:00,Trung tính
{'$oid': '55bc9edb1a77ce605254ba6f'},457138,event,55bc164517dc1344d2012db7,"""Đánh ngu như chó""",ios,2015-08-01 10:47:00,Tiêu cực
{'$oid': '55bc9f0c1a77ce605254ba70'},632558,event,55bc164517dc1344d2012db7,"""VN mất Libero thua rùi. đánh đấm j nữa...""",winphone,2015-08-01 10:47:00,Tiêu cực
{'$oid': '55bc9f671a77ce605254ba71'},638965,event,55bc164517dc1344d2012db7,"""Thua r,cáu r đấy""",ios,2015-08-01 10:49:00,Tiêu cực
{'$oid': '55bc9f911a77ce605254ba72'},638965,event,55bc164517dc1344d2012db7,"""Thắng 3-1 h thua lại 3-1 haizzz""",ios,2015-08-01 10:50:00,Trung tính
{'$oid': '55bca0651a77ce605254ba73'},522349,vod,55b6049117dc131ef2922fc6,"""Rất hay fim cho mình hiểu thêm về lịch sử Anh quốc tại sao nước Anh tách ra khỏi giáo hội Roma cho đến ngày nay,cũng hiểu thêm cái giá của đam mê quyền lực và cũng đừng xúc phạm đến Chúa""",web-playfpt,2015-08-01 10:53:00,Trung tính
{'$oid': '55bca11e1a77ce605254ba74'},369500,event,55bc164517dc1344d2012db7,"""Chán quá ,cứ môn nào thi đấu đến vòng kết là toàn thua không vậy.""",ios,2015-08-01 10:56:00,Tiêu cực
{'$oid': '55bca1241a77ce605254ba75'},519548,event,55bc164517dc1344d2012db7,"""Càng xem càng buồn""",ios,2015-08-01 10:56:00,Tiêu cực
{'$oid': '55bca1b71a77ce605254ba76'},550809,event,55bc164517dc1344d2012db7,"""Bước 1 kém quá""",ios,2015-08-01 10:59:00,Tiêu cực
{'$oid': '55bca1c41a77ce605254ba77'},457138,event,55bc164517dc1344d2012db7,"""Bước 1 đánh thế này đánh làm gì cho phí tiền nhà nước""",ios,2015-08-01 10:59:00,Tiêu cực
{'$oid': '55bca1d61a77ce605254ba78'},457138,event,55bc164517dc1344d2012db7,"""Về cứu đồng bào lũ đê""",ios,2015-08-01 10:59:00,Trung tính
{'$oid': '55bca24c1a77ce605254ba79'},500787,vod,55b8345917dc131ef2923072,"""phim lắm ad đăng nốt season 2 đi""",ios,2015-08-01 11:01:00,Tích cực
{'$oid': '55bca2561a77ce605254ba7a'},519548,vod,55bb32d117dc1344d2012d41,"""lúc nào có vậy""",ios,2015-08-01 11:01:00,Trung tính
{'$oid': '55bca3241a77ce605254ba7b'},158113,event,55bc164517dc1344d2012db7,"""Thể thao vietnam chỉ bốc cám mà ăn""",ios,2015-08-01 11:05:00,Tiêu cực
{'$oid': '55bca3731a77ce605254ba7c'},3555,event,55bc164517dc1344d2012db7,"""Thuc su trinh do chi den vay thoi!""",ios,2015-08-01 11:06:00,Trung tính
{'$oid': '55bca4181a77ce605254ba7d'},564097,event,55bc164517dc1344d2012db7,"""dù j thì đội tuyển VN đã cố gắng hết sức rồi. Có biết bao chấn thương mà vẫn cố gắng đánh là hay lắm rồi, thông cảm cho VN""",winphone,2015-08-01 11:09:00,Tích cực
{'$oid': '55bca4e41a77ce605254ba7e'},638686,event,55bc164517dc1344d2012db7,"""M.n phải vui lên vì năm nay Việt Nam! Ko thua các trận gặp tàu khựa""",ios,2015-08-01 11:12:00,Tiêu cực
{'$oid': '55bca8451a77ce605254ba7f'},509985,event,55bc164517dc1344d2012db7,"""thailand vo dich""",winphone,2015-08-01 11:27:00,Trung tính
{'$oid': '55bca8511a77ce605254ba80'},610868,event,55bc164517dc1344d2012db7,"""Yêu các em""",ios,2015-08-01 11:27:00,Tích cực
{'$oid': '55bca8d11a77ce605254ba81'},126812,event,55bc16d417dc1344d4012cf6,"""Quả séc của  thái tốt hơn Việt nam nhiều cho lên vn bị lỗi bước một , mà bóng chuyền đã lỗi bước 1 coi như thua""",ios,2015-08-01 11:29:00,Tiêu cực
{'$oid': '55bca92d1a77ce605254ba82'},509985,event,55bc164517dc1344d2012db7,"""việt nam bắt bước một quá kém nên thua là phải rồi. hlv nên rèn luyện nhiều cho vdv bắt bước một hay hơn nữa. đội trẻ thailand còn thắng tuyển việt nam huống hồ chi tuyển quốc gia thailand thì ta thua là cái chắc""",winphone,2015-08-01 11:31:00,Tiêu cực
{'$oid': '55bcaba01a77ce605254ba83'},570606,vod,559ba0d817dc136325e6a705,"""fpt hay qua""",web-playfpt,2015-08-01 11:41:00,Trung tính
{'$oid': '55bcabca1a77ce605254ba84'},537901,event,55bc164517dc1344d2012db7,"""ThÁnh quảng cáo. Lắm thế. Mở cái gì xem thì mở.""",ios,2015-08-01 11:42:00,Tích cực
{'$oid': '55bcabd41a77ce605254ba85'},279651,vod,556fce2f17dc134317cef601,"""tua 1 tý thôi mà load nửa ngày với mạng cáp quang""",android,2015-08-01 11:42:00,Trung tính
{'$oid': '55bcac311a77ce605254ba86'},615796,event,55bc164517dc1344d2012db7,"""Việt nam kém quá""",ios,2015-08-01 11:43:00,Tiêu cực
{'$oid': '55bcac651a77ce605254ba87'},509985,event,55bc16d417dc1344d4012cf6,"""việt nam tổ chức các buổi lễ khai mạc và bế mạc quá rườm rà. dài dòng lê thê""",winphone,2015-08-01 11:44:00,Tiêu cực
{'$oid': '55bcac7d1a77ce605254ba88'},626256,vod,53deee09c969283fe45f5a60,"""noi dung hay""",web-playfpt,2015-08-01 11:45:00,Trung tính
{'$oid': '55bcac9a1a77ce605254ba89'},509985,event,55bc16d417dc1344d4012cf6,"""tội nghiệp các vdv đứng chờ các vị phát biểu mà mỗi cả chân""",winphone,2015-08-01 11:45:00,Tiêu cực
{'$oid': '55bcaf071a77ce605254ba8a'},639127,event,55bc164517dc1344d2012db7,"""Thai uống toàn bò hục mà ,cộng cả mi lô nũa""",ios,2015-08-01 11:56:00,Tiêu cực
{'$oid': '55bcaf991a77ce605254ba8b'},639127,event,55bc164517dc1344d2012db7,"""Vn đoạt hc trì rồi""",ios,2015-08-01 11:58:00,Tiêu cực
{'$oid': '55bcafa01a77ce605254ba8c'},597650,vod,5578005317dc1328689cf22e,"""1 tuần 4 tạp ak bn,,,""",web-playfpt,2015-08-01 11:58:00,Tích cực
{'$oid': '55bcafdc1a77ce605254ba8d'},639090,vod,5595fb6f17dc130d52749df2,"""qua goold nhung lau co tap tiep theo qua hoi nan haaaaaaaa""",android,2015-08-01 11:59:00,Tích cực
{'$oid': '55bcb06c1a77ce605254ba8e'},210219,event,55bc16d417dc1344d4012cf6,"""Thái Lan chơi rất tự tin. Vẫn thích lối chơi của TL. VN cần học hỏi nhiều....""",winphone,2015-08-01 12:02:00,Tích cực
{'$oid': '55bcb08c1a77ce605254ba8f'},77007,vod,55b9d12317dc1344d2012c64,"""chua xem thay ten phim chat hay lam""",android,2015-08-01 12:02:00,Trung tính
{'$oid': '55bcb0de1a77ce605254ba90'},639142,event,55bc16d417dc1344d4012cf6,"""de ac viet nam moi hay""",web-playfpt,2015-08-01 12:03:00,Trung tính
{'$oid': '55bcb11d1a77ce605254ba91'},639142,event,55bc16d417dc1344d4012cf6,"""tôi thấy thái lan hay hơn""",web-playfpt,2015-08-01 12:04:00,Trung tính
{'$oid': '55bcb18d1a77ce605254ba92'},639142,event,55bc16d417dc1344d4012cf6,"""cố lên thái lan""",web-playfpt,2015-08-01 12:06:00,Trung tính
{'$oid': '55bcb2511a77ce605254ba93'},608652,vod,55b9e8c917dc1344d4012c39,"""ghét nhất mấy thằng cái gì cũng fee mà hay ý kiến""",web-playfpt,2015-08-01 12:10:00,Tiêu cực
{'$oid': '55bcb3221a77ce605254ba94'},639155,event,55bc16d417dc1344d4012cf6,"""co len thai lan""",ios,2015-08-01 12:13:00,Trung tính
